F	會員壽星有送拼盤/點歌機不方便/都要打簡體字才找得到歌/也是大陸歌超爆多/我找不到遙控器/切歌調音量都蠻不方便的/可以用微信點歌/但地下室沒網路需要連WiFi
F	不要打架/打贏送法院/打輸送醫院/打野送精神病院/音響感覺特別的好/大陸歌跟正版MV很多/大推
E	音響好/曲目多/五顆星/疫情趨緩開始營業/不提供餐食/酒精飲品/清潔費卻要收到200元/說是廁所整理的費用/兩個人唱歌/撇沒三次尿/感覺特別貴/扣2顆星/
E	第一次評1星耶/感覺很像被詐騙/包廂費不能抵低消/收費太貴低消跟包廂都要收1成服務費/還要加收包廂清潔費300元/飲料太小壺/五個杯子每個杯子倒不到半杯/還被騙加會員200元/兩個小時一個人收費558/超貴啊/下次不會再來/當作花錢買經驗/帶小孩來唱歌過12點/要求小孩12點要離場/父母在也不行/等於唱不到兩小時/
F	有壽星朋友有送生日炸拼跟飲料/朋友推薦這裡的抖音歌大陸歌真的很多/唱歌首選/環境乾淨/不會有些店很髒/服務生都很可可愛
E	爛死了/啥都貴/要續唱還必須換更貴的包廂/東西也難吃/我絕對會跟朋友一起宣傳列入黑名單
E	不習慣點歌系統/計價方式很可怕/本來是看包廂費便宜才來的/
E	爛死/三小時四人2278/點三瓶百威/貴死還小包廂/廁所也要收200/拒來第二次
F	舒適的空間/優質的服務/更沒有惱人的煙味/消費CP質高/適合好友聚會的好場所/
F	唱歌就是要來同學匯/音響很讚/環境又好/服務佳/
F	晚上剛進包廂遇到故障就稍等一會/後來排除也有補時數給我們/還補償一盤炸物/服務人員/小恩/很親切/下次會再來
E	環境乾淨舒適/設備很新/中包廂很小/收費不便宜/3小時/我們四個人/過年期間/點了一杯檸檬汁/一壺奶茶/一打啤酒/水果茶/這樣4550/平均一個人1137左右/廁所是每個包廂都有的/奶茶在時間到40分鐘前才上來/歌的話很奇怪/很多經典歌手沒有/但也有很多日文歌/抖音/大陸歌/連節目片段版本也有/滿神奇的一間店
