E	價格高/品質差/包廂很臭/瀰漫著濃濃的陳年菸味/裝潢很舊/很多歌都點不到/
E	新歌更新的很慢/搜尋系統也只能找中文歌/最讓人不滿的是差10分鐘就11點/可以算下個時段的價格又外加一小時/但接待人員看起來是個剛來的妹妹/事後查才發現的感覺讓人覺得有待加強
E	服務品質可以選非常不ok/但會被經理或是店長逼問/一/設備偶爾會有當機/有些歌沒有/二/歌房煙味過重/三/餐點份量過少/四/店長或是經理態度甚差帶改善/選非常不ok會被質問且語氣咄咄逼人/五/價目表應該涵蓋低銷/3小時300元/含餐飲低銷則是410元/有種被詐騙的感覺/12月18號/15/30/18/30分消費於此
E	真的是很不ok的KTV/但離家近偶爾還是會和朋友同事來/真心希望可以改善一切的一切/環境/品質/服務/食物等等/
E	還/不錯/只是服務員的臉色/有點不太好看/我們剛的/再點食物難免有一點超吵/服務員臉色就僵住了/
F	服務生很親切/一個唱歌的好地方/
E	包廂太小/廁所只有男女各一間/服務人員服務還可以/
F	食物飲料普普/算不上美味但費用也還好/覺得比較好的是炸物/有薯條/檸檬雞柳條和玉米布丁酥/如果有辦威力卡/周六晚上三小時一個人470/但同行友人說點歌設備似乎比較老舊/但我覺得經典的歌曲都有/所以還可以接受/
E	雖然被評定為無菸地區但是相較其他ktv我覺得這裡的煙味重了很多但是整體品質還算不錯/價格也還有平價
E	整個好樂迪都煙霧瀰漫有夠誇張/像失火一樣/距離包廂到的時間還有半個小時就瘋狂進來結帳收盤子整理包廂/員工素質超差/員工訓練絕對要加強/唱得非常不愉快/瘋狂趕人/看評分就知道這家好樂迪為何評論那麼低/超級掃興/爛到爆炸/失望透底/
F	服務不錯/歌單相對錢櫃有差一點點/但是/價格很划算/
F	酸民們別挑了/在罵下去/內湖沒歌唱了/裡面的工作人員真的很辛苦/謝謝你們照顧這麼多喝醉的內湖人/還好有你們默默的守護我們的失態/大/感/謝/
F	服務員都不錯/極少時後遇到差勁的/10/1機率吧/
E	貼禁煙卻有煙味扣一星/包廂過小扣一星/服務人員有提供椅子加一星/低消制扣一星/歌單過少扣一星/燈光設備差扣一星
E	待客服務尚可/歡唱度一般般/飲食普普/環境清潔不足/地點安全性不佳/警方巡邏不密集
E	2/30來唱三個小時/5/打烊也沒有先告知/只唱2個半小時卻收我們三個小時
E	煙味還是重/希望可以改善
E	很爛的環境地點/然後一堆屁孩在旁邊公園發酒瘋/總是造成居民困擾
E	唱歌間都在B1/沒獨立廁所/音響老舊/不推薦這間/
E	跟朋友逛完美麗華來這邊唱歌/這間好樂迪還有歡樂吧/可惜中午的兩點就沒有了/三個人唱完五小時大概1200多還算便宜/只是我們只有低消的飲料
E	3大ktv最後一名/不過喝醉了都好啦
F	設備優良/服務親切/缺點在地下一樓/沒有無障礙設備
F	防疫做的密不透風/店員客氣服務態度非常好
E	2月12日21點09分時有6個大1個小/進去消費/結果21/50分左右又多來2個進去很久了也都沒補杯子進來/大概23/15/46秒有先去結帳/結帳時我們跟櫃台說妳們餐點的內容送來都沒問客人ok嗎/就直接上/她回她們的套餐內容都是這樣/這樣如果去問消保官不知是否是強制推銷/我們去問櫃台回吃不完可以打包/我們先去結帳時問櫃台可以唱到什麼時間她回淩晨12/08分/我們家女兒還在包廂唱11/45分唱歌長唱到一半就被關掉/打去問說會在延3分所以等於到淩晨11分/因為歌一直被關掉23/50就被氣走了/請問你們收的服務費是這樣服務客人的嗎/那可真的很棒很厲害耶/
E	沒進包廂就要我們先決定好要要點什麼低消/問他不能進包廂在點嗎/還口氣很差的說現在先看/螢幕椅子摸起來也都有灰塵
F	硬體設備不錯/音質很好/每間包廂隔音設備還可
F	包廂沒廁所
E	全家去唱了三小時/全身吸滿煙臭味的回家/真的超級臭的/廁所也很髒有濃濃尿臭味/環境衛生堪憂/服務人員多問兩句/睜大眼睛看著你/實在不推/不會再去/
F	剛好在晚上9/30/11/45間帶孩子一起唱/食物供到11/00/炸物/炒青菜/白飯/味噌湯/都很好吃/服務人員也很勤著來收拾碗盤/看孩子有需要也立刻幫忙/服務態度很好/
