E	點歌系統真的超難用/連到手機划開之後就會跑掉還要重掃/麥克風的音質超難調整連我這個歌王都唱的2266/牆壁沒有掛外套的地方也很妙/整體環境蠻有夜店風/食物不錯以及服務人員態度好
E	這是一家夜店風的KTV/整體的環境非常好/燈光環境優良/慶生服務特別/有一個穿太空衣的人/廁所很乾淨/我們總共12個人去一個人大約七百多元/稍貴/可能是我平常習慣去星聚點/一人有99元的扣打可以點餐/點歌機很有質感/喇叭的效果讚/麥克風很多隻/大家都可以歡唱/注意我們那時候想要喝水/結果店員給我了我們一瓶150的水四平總共/600/超級傻眼其實我們只是想要一般提供的水/有點強迫消費/無言/
F	餐點很好吃/氣氛也很好/但點了湯和飯/麵沒有附湯匙和碗都要另外要/點歌系統要用一陣子才會習慣
E	只能說服務態度跟食物都不錯/包廂看起來也很漂亮/但是歌難點就算了/尤其是手機app的部分/麥克風出來的音質也很差/價錢又比台北其他間連鎖貴真的沒有很推薦
E	環境娛樂性很足夠/適合好友一起來慶生或歡聚/但部分服務人員的態度極差/非常需要再加強訓練/最後要離場時歌才一唱完負責清潔的服務人員馬上衝進來收拾東西整理桌面/完全不等客人還在收拾/穿著外套/讓人覺得是在趕客人/感覺很差
F	本人這次消費是分配到106號包廂/1/音響優質/整個歡唱過程無麥克風過近的干擾尖銳音/一聲都沒有/讚/2/不誇張/包廂完全無菸味/怎麼做到的/這點屌打其他同業/3/包廂有廁所而且非常乾淨芳香/優/4/送餐速度正常/並沒有外傳所謂等飲料要一小時的情形/且白金會員有贈送炸物拼盤及飲料/cp值高/5/有雙螢幕/無論是面對前面還是面對來賓都看得到字幕/輕鬆展現歌喉不尷尬/6/手機掃QRcode點歌設計很不錯/等於每個人手上都有一支遙控器/方便有又效率/7/裝潢美輪美奐/極具獨特風格及設計感/網美朝聖好所在/8/Jay服務超讚/親切有禮
F	每間包廂都有主題裝潢/餐點的表現也很棒/重點是音響設備很好ㄟ/好拍好唱好好吃/
E	中包有點小/單支開瓶費/500蠻硬的/但服務算快/點歌系統算很難用/推薦的許多都是電音跟大陸歌曲/中包四小時也是兩萬多了/跟錢櫃開最大包暢飲差不多
F	第一次唱中包廂環境超時尚新穎/擺放娃娃讓穿短裙的女生可以遮住短裙很貼心/手機直接QR/Code就可以點歌/炸物拼盤滷味拼盤口味都很有水準/冰奶茶是好喝的那一種/膨大海也很OK/吉祥物皮卡丘超可愛/最重要的是有一堆抖音神曲啊/第二次去唱202小包廂/空間可能太小音響離得太近所以耳朵有一點受不了/滷味沒有第一次來了入味
E	11月初開放了去捧場/結果超爛如下/公司打來說後續會處理到現在已經三個禮拜什麼都沒處理/詳情如下/1/Line/公關推薦說207很漂亮/中包廂/才訂的/結果裡面的氣氛燈全部維修中/都不會亮/服務生只說了句明天才會修/所有說漂亮的燈全部無法使用/2/麥克風連套子都沒有/另一間206就有/服務生還會協助套好/打來關心的一位主管說/這是服務生最嚴重/不能被原諒的錯/3/煙味超重反應了5次/甚至到一樓去反應/都沒有結果/206沒什麼煙味但207整間都是煙味/越晚越重/主管說規定不能抽菸/櫃檯跟服務員說客人抽她們無法管/4/點餐/排骨飯/水餃/這兩個最簡單款/一小時都不來/催了兩次才來/另一間包廂點餐20分鐘內完成/5/反應兩次無法用QR/code點歌/點餐/都無法處理/第三次服務生說要重開機就可以/三分鐘就可以處理好的事情/為什麼要客人等2小時才處理/
E	有夠扯的經驗/包廂訂單因服務員刷錯卡把其他三間包廂結帳金額全部搞混之外/還在訂單明細中異常灌單格蘭利威3180及可樂300元/真的只能說員工素質有待加強若企業能讓新手人員上一線戰場/這種素質Sing/go公司應責無旁貸/第一次消費就是如此的經驗/也將會是最後一次光臨/以上評鑑分享/也請請近期消費客戶務必留意帳單及信用卡刷卡金額正確性/
F	好玩/好吃/比較有夜店風/設備比錢櫃/好樂迪高級蠻多的/進去就有/Shot/杯盤/生日還會有玩偶進來幫你慶生/唯一缺點就是比較貴一點
F	東西超好吃/服務超好服務人員都很貼心/包廂很乾淨還有香香的味道/設備也很不錯/
F	SingGo/台北唱歌據點比較高端一點的選擇/有大中小包廂/但都偏小/整體氣氛更Fancy/燈光打得更聲色/適合走台步/也很適合辦拍照用的派對吧/比起星據點之類的有比較多附加趣味/點歌的機器也完全不一樣/有很多抖音歌/熱門歌曲的排名好像常常會看不懂/但那個點歌機器其實UIUX做的不是非常好/但是手機也可以點歌蠻方便的/包廂都會有骰盅/還有快打遊戲機/無聊的時候可以炒熱氣氛/食物也不錯/滷味拼盤是熱的/每次都會點/
F	最近蠻愛在這唱歌的/因為真的很不錯/而且價格親民/每間包廂都有不同風格/省略了笨重的歌本/掃QR/Code即可點歌/插歌/調整音量/等功能/可以說手機就是遙控器/真棒/還不時送優惠卷/真是佛心來的KTV快點去親身體驗/
F	很棒的KTV/可以直接用手機點歌及切歌之類的/雖然餐點有點小貴/包廂環境及設備完勝一些好樂迪及錢櫃/我們這間只是小包廂/但設備還是很不錯/有其他家KTV大包廂的水準/小包廂的空間也很大/
F	雖然沒去過/但感覺挺好的/請問在忠孝店唱歌/能防止穿透音出隔音門嗎/
E	裝潢真的美/網美妹子絕對會喜歡/666包廂的機台/很多懷舊遊戲/但搖桿已經被玩壞了卡半死/既然是包廂特色就請好好維護哦/點歌介面需要熟悉一下/有些功能尚未開放/例如錄音/滿可惜的/手機點歌的話已點歌曲只看得到手機點的/不方便/找尋歌曲有點怪/如果沒有這首歌/會直接沒反應/然後alin/還是a/lin拜託選一個/不然我要找歌很難找/走廊也很美/真的是一個狂拍照的好地方/現在打卡就送2小時券/很不錯哦/音響效果不錯/空調夠力/下午時段5小時特大包竟然只要兩千出頭/很棒/
F	燈光設計風格效果大膽/包廂設備很好/消費屬高檔
E	餐點真的很難吃/每一項都比不上錢櫃/而且滷味拼盤真是難吃/彭大海也未免太甜了吧/昨晚第一次去消費/真的非常失望/
F	威辰服務很好非常棒/快找他訂位/包廂房型很多可以選/有的還有球池/根本就是網美打卡景點/而且平日的/星期日/四/23/00後夜包場/超級便宜/現在開放可以在包廂吃東西喝酒/兩間門市都離/酒吧/夜店/很近/要續攤來這裡就對了/還不趕快預約起來/
F	一進包廂就點牛肉麵是基本盤/sing/go還有麻辣的水煮牛/超級道地的滷味拼盤/現點現烤的串燒/一時之間突然忘記自己是來唱歌/只顧著低頭猛吃飯/這兒的包廂是我唱過全台灣最好唱的音響/聲音細緻又滑順/靈敏度極高/任何unplugged/的歌唱起來都是金曲歌后/任何重低音的歌唱起來都撞擊心臟/歡迎大家來挑戰/以後唱歌找不到這種音響了怎麼辦/包廂裡有籃球機就要點灌籃高手的歌/派對慶生請找聚唱派對/是太空人不是外星人/外面地板很滑請小心膝蓋
