2	9760,8623,1402,8623,2336,8623,2074,
2	7821,5176,5683,11586,10107,11351,3123,4690,12544,12306,4784,
2	5172,9377,3013,7715,4559,5687,3864,1415,899,12166,2869,5538,11676,7715,5650,3123,2246,1871,866,7624,11414,5175,8623,8979,5157,734,2518,2246,4603,7623,304,418,1906,5154,12392,11414,1025,2619,3123,1779,3384,5063,6881,3411,5154,8164,2896,9742,10251,12430,12281,7144,1779,6400,5135,5137,2055,8056,10410,4016,2710,
1	9057,11136,1353,2277,12391,9089,1693,6407,13,10,6407,9057,11136,6543,12391,10497,1415,7623,1934,271,88,1511,88,4603,6760,8469,7190,1527,10385,7610,7863,11839,1025,89,4,6530,6682,2192,6587,3504,1693,8509,5558,3734,10729,3734,89,4,2638,12296,1507,1025,6543,2940,8576,89,4,5246,1819,3123,2192,12150,10234,2044,1387,6755,7200,3033,8623,5489,3416,6278,10298,12060,3920,2716,
2	11438,1252,8623,7904,6428,
2	6255,9763,
2	1831,2093,8623,7904,6438,
2	8384,1252,11414,2183,1025,11598,6530,6881,1387,5176,6703,2393,11245,
1	2415,8706,1126,5534,1633,6530,271,5650,1651,11068,5558,11327,8623,6530,37,8623,5650,5683,10099,8623,5154,4176,1633,9136,4032,8623,5489,7483,1415,10498,4827,4754,3657,6586,8249,10755,4825,2322,7777,4975,8623,3637,6898,10755,9984,12213,3972,1053,8809,5744,11820,10158,5356,5744,3427,10825,3734,4967,2285,8578,8732,4095,10755,11482,2322,12221,6898,1677,11517,6530,9161,7010,9201,8738,5551,1199,4264,3076,2677,10072,10755,6953,7563,4899,7623,1025,7002,1573,11517,7535,1633,6530,4032,8623,10504,4394,9711,4167,8353,4690,713,716,4681,3234,899,12519,3158,5360,1764,3203,5551,10234,1633,1780,8623,11733,5492,7483,1415,3816,2775,1633,1812,105,4,6208,89,4,11137,327,12430,12281,11517,1053,10198,1415,12296,8623,4020,5472,1193,9298,10755,2987,4486,964,11482,8669,3099,4170,9609,51,12191,2401,6530,3129,4780,9832,5606,4840,2401,6530,9246,9220,9172,10755,1633,811,6918,1644,2079,10427,6881,6703,2086,8730,6530,5551,5422,4108,10412,7974,11628,5527,6530,3691,5650,6303,2079,975,1682,1025,5090,10504,1764,4166,6646,7892,7603,3816,7892,2465,1191,1188,7399,1387,1053,3987,2158,6244,4681,6219,1415,888,10306,1293,8623,3564,3099,8481,10306,5247,1585,1415,6373,3003,960,6516,6530,7192,4581,5730,2025,8623,5495,10371,5154,7902,12389,6530,1582,3436,8623,6269,10638,3066,4919,4690,3734,1382,7623,7483,8290,10072,3323,143,195,7110,1764,12517,7192,6918,3734,946,6208,808,6293,11128,8623,12079,11393,10306,1293,8623,3564,3458,
2	1025,4221,
1	3912,10107,6377,5047,9529,7192,1527,5495,5176,1247,7535,10358,10392,9068,6587,3123,2138,88,7100,3776,9898,9067,9275,5551,4681,2041,2701,10554,8623,5650,6877,2044,
2	6751,11586,10107,11241,4399,10132,10877,8349,2808,5683,4625,7906,12034,10679,1693,1693,1053,8809,6531,7296,9500,11279,5650,11517,11960,7192,5236,5489,11897,6877,1124,
2	6881,5157,10504,5558,6045,2194,1722,11968,11234,5154,10957,11840,2982,6751,234,28,9484,1387,5925,3920,11332,
2	7904,3404,1772,
1	11586,10107,5246,11360,
1	7623,271,5650,10706,4559,9539,4095,11963,4034,88,87,9543,6304,5154,3880,9932,8623,7372,1387,5177,6324,9549,1950,3920,8623,895,5311,1025,11933,1053,4221,1695,7886,9087,6801,
2	7904,5198,23558,6602,11378,
2	6324,11360,7610,4365,11414,12544,3123,3203,3090,7715,4153,1415,5489,8232,1086,1780,
2	6324,1780,10385,11517,10014,4213,8623,11968,11234,5154,10957,1037,11410,2393,1780,1736,
2	8354,9068,11198,7192,1527,5495,4673,7904,8308,1772,1682,5634,11897,6264,10877,4782,9599,5260,2373,9593,
2	6357,6212,310,1928,7892,7603,10609,5176,6881,1527,10219,
2	1252,8623,12391,
1	7610,7856,1025,3120,3203,3120,9711,1960,12430,12281,3203,5925,6862,8623,
1	7709,11118,9203,9119,8539,9739,1594,7107,8710,1645,6407,7998,3608,9012,3035,9607,755,4541,1053,5831,8623,1518,10385,8769,12089,8554,8889,9115,6800,2716,
1	721,3076,11316,1960,1025,6402,8623,7904,12263,3691,1779,3179,344,6402,10262,1415,165,5043,6616,5765,10086,2672,134,1693,5043,6616,6530,1764,3580,8623,1793,5551,6530,11176,4899,2187,5154,11593,10385,143,11240,3323,5551,11517,11418,10988,4493,10338,1736,3734,143,7100,7190,5625,1764,3123,9600,6416,234,28,1045,8623,9592,5683,12100,12352,10791,3233,8623,7470,10841,1511,8623,6212,5085,9584,1764,11517,9599,8623,2595,5683,2118,370,3365,10560,843,8970,11863,2686,11100,11985,3552,9711,4917,6796,11561,9179,3588,8769,1110,11316,1736,799,7339,11316,1764,8336,2255,4603,11897,6264,4782,1764,1214,5427,11897,5179,5179,5179,10385,143,11240,5154,11593,1764,11444,8623,2595,808,1995,11803,8623,9592,
2	15016,5296,
2	4093,2469,1874,612,
2	325,1928,
1	7535,6050,3353,10693,6193,7125,9539,6530,3691,12023,10761,718,4394,10988,4120,4558,5558,10693,8115,811,10755,5558,6193,6881,8768,
2	4128,527,1906,10720,3504,
2	2093,4213,5013,10229,1402,
1	5683,7623,2246,4603,11839,2876,9830,3210,12278,12228,1252,1682,12544,11332,5370,1105,6877,4161,
1	143,46,6595,10271,6751,10999,2270,2183,12292,2595,7190,4581,5683,7240,5744,10436,2138,88,7100,1779,9703,3309,9068,5683,9067,1415,9208,770,6543,8769,10234,4101,10745,3642,7192,10342,7190,4581,7192,4581,5721,10385,4034,11452,2394,4603,5551,8769,4101,1415,7567,9067,5551,12060,10988,7192,4581,11482,5683,10999,8623,12292,777,6530,135,2104,2252,6170,215,2104,5551,5558,704,1871,4352,7483,8461,3066,1511,3076,3203,754,12483,11066,10158,10755,5551,6170,215,7192,4581,10385,11482,1764,10158,5790,8882,2938,5551,5725,10995,5551,3486,6530,707,11187,12296,11418,8461,12296,11820,4681,5790,8882,2936,6194,6073,2255,8974,8974,964,4352,7535,6253,12255,1387,7483,1779,11241,7192,4581,11482,7567,11407,10177,215,2104,1189,1764,2138,12296,9067,707,5551,3109,5641,2129,4883,1765,6170,7262,4581,832,5084,1764,9430,9067,1387,1260,11025,9068,6587,5551,11491,7086,11452,3922,4581,4034,144,2552,4773,5551,4277,1882,704,11731,5527,4681,10755,4394,10385,6319,5683,10158,3922,6587,832,5084,2595,12296,12364,12292,11628,10408,6703,1780,3100,135,2109,721,7483,6039,1573,12309,8623,3757,8461,7192,4581,9033,10385,1764,1387,7513,3458,5551,5422,10385,1765,8461,1173,11510,5337,9033,3011,4394,7504,8115,9033,8437,4210,9711,10246,5422,10385,5551,4277,704,11731,10385,7240,5744,5251,10982,4277,5721,10385,11452,2394,4603,10755,4277,3012,5246,4277,5721,10385,2144,1764,5744,1615,704,11731,7002,11418,11731,5744,1053,4690,7215,5558,5551,7513,6530,3691,7244,8373,4816,7240,5744,12135,144,2552,4773,3309,5721,1053,10982,11731,3011,5558,9711,7513,5551,1633,4874,11097,3564,9727,5266,1578,8623,6881,5495,11414,11079,12303,1765,1387,6285,8623,1026,8879,1765,8422,9745,5579,9533,11840,2373,7904,6438,8623,
1	854,7404,8623,6438,6953,9739,4966,3863,6167,2688,1242,11897,1115,1693,10752,2818,3236,5154,10957,2074,3120,5999,
1	704,11731,8354,12167,7192,4195,5012,1387,7483,10385,10158,9067,3922,721,3920,4603,5246,1780,3485,11452,721,2880,2246,4603,721,2880,4603,11262,2982,10158,721,4603,9409,9067,1415,917,3920,4603,7715,10320,1387,1219,11414,9874,3365,10755,1053,8807,8623,12188,11856,1831,12519,1355,7483,2585,4251,
1	11351,414,8623,7904,7851,2528,4024,7442,1682,4611,1387,7610,11252,899,8623,4611,4260,1595,627,2206,8623,6877,5513,11232,9051,9795,45,142,4899,7615,7449,8861,7937,5683,2200,2604,3161,6212,5246,8623,4559,8552,9087,1402,1682,6877,9529,1815,2595,105,4,3689,6595,1780,7610,7860,3203,1090,8623,
1	1235,11351,3123,
2	6438,1722,3564,1719,2818,2331,6412,11960,11840,3455,10039,9739,5944,10653,9208,88,2552,12089,6392,6438,2079,6926,1779,8313,2087,2187,2079,7317,3363,6438,1831,5172,1990,3486,2371,7100,6305,8044,4412,2200,1995,9739,12023,3042,2187,6567,8463,1995,6881,1527,7606,1272,1614,11674,1744,8979,7264,2187,7125,11938,5650,6324,8979,11445,5999,5634,8075,3365,1387,1402,8194,7700,6980,5414,1252,1316,12114,8623,8063,7012,8998,12416,3978,9461,5001,10868,8838,1816,1871,5489,8044,11315,1957,8623,10613,10823,10825,9898,7081,6255,7709,10129,8044,6484,8069,8623,8979,5416,8672,8979,10320,6877,1219,2370,8815,7715,11856,3099,713,7624,3893,1501,3681,7715,2005,11293,9547,1719,8815,7715,2200,9819,8672,5325,10781,11506,12392,8623,7715,2005,5725,1779,4475,1071,1264,6877,2924,9462,9415,10334,7256,6438,9521,5944,3455,10039,9067,7165,12089,6392,9817,8061,2087,854,2074,1387,6530,4895,3120,5999,8623,9132,5634,5416,7709,8979,10320,1069,895,6503,2375,11513,527,1914,8044,1316,1959,6530,3123,9533,3594,12458,5606,2415,2187,8623,4213,11332,
